event_id,event_name,user_id,anonymous_id,sent_at,received_at,properties
evt_000001,page_view,,anon_059,2026-09-09 17:26:00,2026-09-09 17:26:02,"{""page"": ""pricing"", ""device"": ""desktop""}"
evt_000002,product_viewed,,anon_059,2026-09-09 17:29:00,2026-09-09 17:29:02,"{""product_id"": ""P100"", ""product_name"": ""Laptop""}"
evt_000003,page_view,,anon_059,2026-09-09 17:34:00,2026-09-09 17:34:03,"{""page"": ""pricing"", ""device"": ""tablet""}"
evt_000004,product_viewed,,anon_059,2026-09-09 17:45:00,2026-09-09 17:45:01,"{""product_id"": ""P100"", ""product_name"": ""Laptop""}"
evt_000005,identify,user_059,anon_059,2026-09-09 18:24:00,2026-09-09 18:24:03,"{""email"": ""user59@example.com"", ""name"": ""User 59""}"
evt_000006,purchase,user_059,anon_059,2026-09-09 18:47:00,2026-09-09 18:47:03,"{""order_id"": ""ORD83183"", ""amount"": 587.3}"
evt_000007,purchase,user_059,anon_059,2026-09-09 20:16:00,2026-09-09 20:16:03,"{""order_id"": ""ORD29269"", ""amount"": 1316.22}"
evt_000008,purchase,user_059,anon_059,2026-09-09 20:19:00,2026-09-09 20:19:02,"{""order_id"": ""ORD40053"", ""amount"": 62.28}"
evt_000009,add_to_cart,user_059,anon_059,2026-09-09 22:30:00,2026-09-09 22:30:03,"{""product_id"": ""P400"", ""quantity"": 3}"
evt_000010,purchase,user_059,anon_059,2026-09-09 23:50:00,2026-09-09 23:50:02,"{""order_id"": ""ORD71387"", ""amount"": 769.61}"
evt_000011,purchase,user_059,anon_059,2026-09-10 01:04:00,2026-09-10 01:04:03,"{""order_id"": ""ORD66016"", ""amount"": 282.1}"
evt_000012,purchase,user_059,anon_059,2026-09-10 03:43:00,2026-09-10 03:43:01,"{""order_id"": ""ORD16032"", ""amount"": 61.23}"
evt_000013,product_viewed,user_059,anon_059,2026-09-10 04:01:00,2026-09-10 04:01:01,"{""product_id"": ""P400"", ""product_name"": ""Keyboard""}"
evt_000014,page_view,,anon_128,2026-08-27 13:04:00,2026-08-27 13:04:02,"{""page"": ""home"", ""device"": ""mobile""}"
evt_000015,identify,user_128,anon_128,2026-08-27 13:51:00,2026-08-27 13:51:04,"{""email"": ""user128@example.com"", ""name"": ""User 128""}"
evt_000016,add_to_cart,user_128,anon_128,2026-08-27 14:20:00,2026-08-27 14:20:05,"{""product_id"": ""P400"", ""quantity"": 1}"
evt_000017,page_view,user_128,anon_128,2026-08-27 16:38:00,2026-08-27 16:38:05,"{""page"": ""products"", ""device"": ""tablet""}"
evt_000018,add_to_cart,user_128,anon_128,2026-08-27 17:23:00,2026-08-27 17:23:05,"{""product_id"": ""P300"", ""quantity"": 4}"
evt_000019,purchase,user_128,anon_128,2026-08-27 19:16:00,2026-08-27 19:16:05,"{""order_id"": ""ORD28720"", ""amount"": 1064.76}"
evt_000020,page_view,,anon_028,2026-09-05 10:54:00,2026-09-05 10:54:02,"{""page"": ""products"", ""device"": ""desktop""}"
evt_000021,page_view,,anon_028,2026-09-05 11:01:00,2026-09-05 11:01:04,"{""page"": ""pricing"", ""device"": ""mobile""}"
evt_000022,page_view,,anon_028,2026-09-05 11:30:00,2026-09-05 11:30:05,"{""page"": ""checkout"", ""device"": ""desktop""}"
evt_000023,product_viewed,,anon_028,2026-09-05 12:14:00,2026-09-05 12:14:01,"{""product_id"": ""P300"", ""product_name"": ""Monitor""}"
evt_000024,identify,user_028,anon_028,2026-09-05 12:43:00,2026-09-05 12:43:03,"{""email"": ""user28@example.com"", ""name"": ""User 28""}"
evt_000025,purchase,user_028,anon_028,2026-09-05 13:05:00,2026-09-05 13:05:05,"{""order_id"": ""ORD87162"", ""amount"": 419.25}"
evt_000026,product_viewed,user_028,anon_028,2026-09-05 14:49:00,2026-09-05 14:49:03,"{""product_id"": ""P200"", ""product_name"": ""Phone""}"
evt_000027,add_to_cart,user_028,anon_028,2026-09-05 17:38:00,2026-09-05 17:38:02,"{""product_id"": ""P400"", ""quantity"": 3}"
evt_000028,add_to_cart,user_028,anon_028,2026-09-05 20:38:00,2026-09-05 20:38:02,"{""product_id"": ""P300"", ""quantity"": 4}"
evt_000029,page_view,user_028,anon_028,2026-09-05 21:05:00,2026-09-05 21:05:01,"{""page"": ""products"", ""device"": ""desktop""}"
evt_000030,page_view,,anon_122,2026-08-23 13:46:00,2026-08-23 13:46:01,"{""page"": ""products"", ""device"": ""mobile""}"
evt_000031,product_viewed,,anon_122,2026-08-23 13:58:00,2026-08-23 13:58:02,"{""product_id"": ""P400"", ""product_name"": ""Keyboard""}"
evt_000032,product_viewed,,anon_122,2026-08-23 14:33:00,2026-08-23 14:33:02,"{""product_id"": ""P100"", ""product_name"": ""Laptop""}"
evt_000033,product_viewed,,anon_122,2026-08-23 14:54:00,2026-08-23 14:54:05,"{""product_id"": ""P300"", ""product_name"": ""Monitor""}"
evt_000034,page_view,,anon_122,2026-08-23 15:21:00,2026-08-23 15:21:02,"{""page"": ""products"", ""device"": ""desktop""}"
evt_000035,identify,user_122,anon_122,2026-08-23 15:34:00,2026-08-23 15:34:03,"{""email"": ""user122@example.com"", ""name"": ""User 122""}"
evt_000036,add_to_cart,user_122,anon_122,2026-08-23 15:43:00,2026-08-23 15:43:05,"{""product_id"": ""P100"", ""quantity"": 1}"
evt_000037,purchase,user_122,anon_122,2026-08-23 16:17:00,2026-08-23 16:17:04,"{""order_id"": ""ORD94989"", ""amount"": 1349.34}"
evt_000038,product_viewed,user_122,anon_122,2026-08-23 17:57:00,2026-08-23 17:57:04,"{""product_id"": ""P200"", ""product_name"": ""Phone""}"
evt_000039,page_view,,anon_223,2026-08-28 20:43:00,2026-08-28 20:43:05,"{""page"": ""checkout"", ""device"": ""desktop""}"
evt_000040,page_view,,anon_223,2026-08-28 21:36:00,2026-08-28 21:36:01,"{""page"": ""products"", ""device"": ""mobile""}"
evt_000041,page_view,,anon_201,2026-08-20 15:00:00,2026-08-20 15:00:02,"{""page"": ""checkout"", ""device"": ""desktop""}"
evt_000042,page_view,,anon_201,2026-08-20 15:25:00,2026-08-20 15:25:05,"{""page"": ""products"", ""device"": ""mobile""}"
evt_000043,page_view,,anon_201,2026-08-20 16:24:00,2026-08-20 16:24:01,"{""page"": ""checkout"", ""device"": ""mobile""}"
evt_000044,product_viewed,,anon_201,2026-08-20 16:49:00,2026-08-20 16:49:03,"{""product_id"": ""P100"", ""product_name"": ""Laptop""}"
evt_000045,identify,user_201,anon_201,2026-08-20 17:24:00,2026-08-20 17:24:02,"{""email"": ""user201@example.com"", ""name"": ""User 201""}"
evt_000046,purchase,user_201,anon_201,2026-08-20 17:49:00,2026-08-20 17:49:05,"{""order_id"": ""ORD46933"", ""amount"": 1410.25}"
evt_000047,page_view,user_201,anon_201,2026-08-20 20:20:00,2026-08-20 20:20:02,"{""page"": ""about"", ""device"": ""desktop""}"
evt_000048,add_to_cart,user_201,anon_201,2026-08-20 22:37:00,2026-08-20 22:37:04,"{""product_id"": ""P300"", ""quantity"": 4}"
evt_000049,page_view,,anon_183,2026-08-24 11:16:00,2026-08-24 11:16:02,"{""page"": ""products"", ""device"": ""mobile""}"
evt_000050,identify,user_183,anon_183,2026-08-24 11:58:00,2026-08-24 11:58:03,"{""email"": ""user183@example.com"", ""name"": ""User 183""}"
evt_000051,add_to_cart,user_183,anon_183,2026-08-24 12:11:00,2026-08-24 12:11:04,"{""product_id"": ""P400"", ""quantity"": 3}"
evt_000052,purchase,user_183,anon_183,2026-08-24 13:23:00,2026-08-24 13:23:01,"{""order_id"": ""ORD60500"", ""amount"": 253.41}"
evt_000053,add_to_cart,user_183,anon_183,2026-08-24 13:24:00,2026-08-24 13:24:03,"{""product_id"": ""P400"", ""quantity"": 2}"
evt_000054,product_viewed,,anon_240,2026-09-02 21:20:00,2026-09-02 21:20:01,"{""product_id"": ""P100"", ""product_name"": ""Laptop""}"
evt_000055,product_viewed,,anon_240,2026-09-02 22:12:00,2026-09-02 22:12:02,"{""product_id"": ""P400"", ""product_name"": ""Keyboard""}"
evt_000056,product_viewed,,anon_240,2026-09-02 22:55:00,2026-09-02 22:55:01,"{""product_id"": ""P100"", ""product_name"": ""Laptop""}"
evt_000057,page_view,,anon_240,2026-09-02 23:29:00,2026-09-02 23:29:02,"{""page"": ""products"", ""device"": ""desktop""}"
evt_000058,identify,user_240,anon_240,2026-09-03 00:23:00,2026-09-03 00:23:02,"{""email"": ""user240@example.com"", ""name"": ""User 240""}"
evt_000059,page_view,user_240,anon_240,2026-09-03 00:42:00,2026-09-03 00:42:01,"{""page"": ""pricing"", ""device"": ""mobile""}"
evt_000060,purchase,user_240,anon_240,2026-09-03 02:17:00,2026-09-03 02:17:03,"{""order_id"": ""ORD85100"", ""amount"": 1141.78}"
evt_000061,purchase,user_240,anon_240,2026-09-03 03:08:00,2026-09-03 03:08:02,"{""order_id"": ""ORD82951"", ""amount"": 1488.76}"
evt_000062,add_to_cart,user_240,anon_240,2026-09-03 03:44:00,2026-09-03 03:44:04,"{""product_id"": ""P100"", ""quantity"": 2}"
evt_000063,page_view,user_240,anon_240,2026-09-03 05:55:00,2026-09-03 05:55:05,"{""page"": ""about"", ""device"": ""mobile""}"
evt_000064,product_viewed,user_240,anon_240,2026-09-03 05:57:00,2026-09-03 05:57:01,"{""product_id"": ""P400"", ""product_name"": ""Keyboard""}"
evt_000065,page_view,user_240,anon_240,2026-09-03 07:15:00,2026-09-03 07:15:01,"{""page"": ""about"", ""device"": ""tablet""}"
evt_000066,page_view,,anon_229,2026-08-28 14:41:00,2026-08-28 14:41:03,"{""page"": ""pricing"", ""device"": ""desktop""}"
evt_000067,product_viewed,,anon_229,2026-08-28 15:11:00,2026-08-28 15:11:05,"{""product_id"": ""P100"", ""product_name"": ""Laptop""}"
evt_000068,page_view,,anon_229,2026-08-28 15:23:00,2026-08-28 15:23:04,"{""page"": ""products"", ""device"": ""tablet""}"
evt_000069,page_view,,anon_229,2026-08-28 15:58:00,2026-08-28 15:58:02,"{""page"": ""home"", ""device"": ""desktop""}"
evt_000070,identify,user_229,anon_229,2026-08-28 16:31:00,2026-08-28 16:31:03,"{""email"": ""user229@example.com"", ""name"": ""User 229""}"
evt_000071,add_to_cart,user_229,anon_229,2026-08-28 16:44:00,2026-08-28 16:44:04,"{""product_id"": ""P100"", ""quantity"": 2}"
evt_000072,purchase,user_229,anon_229,2026-08-28 16:51:00,2026-08-28 16:51:01,"{""order_id"": ""ORD74625"", ""amount"": 1261.92}"
evt_000073,product_viewed,,anon_248,2026-09-06 18:18:00,2026-09-06 18:18:05,"{""product_id"": ""P100"", ""product_name"": ""Laptop""}"
evt_000074,page_view,,anon_248,2026-09-06 18:48:00,2026-09-06 18:48:02,"{""page"": ""checkout"", ""device"": ""mobile""}"
evt_000075,product_viewed,,anon_248,2026-09-06 18:56:00,2026-09-06 18:56:05,"{""product_id"": ""P100"", ""product_name"": ""Laptop""}"
evt_000076,product_viewed,,anon_248,2026-09-06 19:21:00,2026-09-06 19:21:01,"{""product_id"": ""P400"", ""product_name"": ""Keyboard""}"
